"","votereg","presvote20post","gender4","educ"
"1",1,1,1,6
"2",1,1,1,3
"3",1,1,2,5
"4",1,1,3,6
"5",1,6,1,6
"6",1,2,1,5
"7",1,1,2,2
"8",1,1,1,6
"9",1,1,2,5
"10",1,1,1,6
"11",1,1,2,5
"12",1,1,2,6
"13",1,1,2,5
"14",1,2,2,4
"15",1,1,1,6
"16",1,2,2,6
"17",1,2,2,4
"18",2,6,1,3
"19",1,1,2,3
"20",1,6,2,3
"21",1,2,1,6
"22",1,2,1,2
"23",1,1,1,5
"24",1,2,2,6
"25",1,2,1,5
"26",1,1,1,5
"27",1,1,2,6
"28",2,6,2,3
"29",1,1,1,6
"30",1,1,1,5
"31",1,2,1,3
"32",1,1,1,5
"33",1,1,2,5
"34",2,6,1,4
"35",1,1,1,1
"36",1,2,2,2
"37",2,6,2,1
"38",1,5,2,3
"39",1,6,2,2
"40",1,2,2,4
"41",1,1,2,5
"42",1,1,2,2
"43",1,6,2,2
"44",1,1,1,5
"45",1,1,1,5
"46",1,2,2,2
"47",1,1,2,4
"48",1,2,2,4
"49",1,2,2,5
"50",1,2,1,3
"51",1,2,1,3
"52",1,2,1,3
"53",1,2,1,4
"54",1,5,2,5
"55",1,2,1,3
"56",1,1,2,2
"57",1,6,2,4
"58",1,1,2,5
"59",1,1,2,6
"60",1,1,2,5
"61",1,2,2,3
"62",1,6,2,2
"63",1,2,2,4
"64",2,6,2,4
"65",1,2,1,5
"66",1,1,2,3
"67",2,6,2,3
"68",1,1,2,2
"69",1,1,2,5
"70",1,2,2,2
"71",1,2,2,2
"72",1,1,3,2
"73",1,1,2,6
"74",1,6,2,6
"75",1,2,2,3
"76",1,1,2,3
"77",1,2,2,4
"78",1,3,2,3
"79",1,2,1,3
"80",1,1,2,4
"81",1,1,1,4
"82",1,2,2,6
"83",1,6,1,5
"84",1,1,2,2
"85",1,2,1,4
"86",1,2,1,4
"87",1,2,1,2
"88",1,1,1,4
"89",1,1,2,4
"90",1,1,1,4
"91",1,2,1,4
"92",1,1,2,3
"93",1,1,2,5
"94",1,1,1,3
"95",1,1,2,5
"96",2,5,1,2
"97",1,2,1,1
"98",1,1,2,6
"99",1,1,1,4
"100",2,6,2,1
"101",1,1,1,5
"102",1,1,2,2
"103",1,2,2,5
"104",1,1,2,3
"105",1,1,2,2
"106",1,1,1,3
"107",1,2,2,3
"108",1,1,1,6
"109",1,1,1,3
"110",1,2,2,6
"111",1,1,1,4
"112",1,1,2,6
"113",1,2,2,3
"114",1,1,2,6
"115",1,1,2,4
"116",1,2,2,5
"117",1,2,2,4
"118",1,1,1,3
"119",1,1,1,2
"120",1,2,1,2
"121",1,1,1,4
"122",1,6,1,4
"123",1,2,1,6
"124",1,1,2,4
"125",1,1,2,6
"126",1,2,2,3
"127",1,1,2,3
"128",1,2,2,6
"129",1,1,2,2
"130",2,6,1,2
"131",1,1,2,4
"132",1,1,1,6
"133",1,2,1,3
"134",1,1,2,3
"135",2,6,2,2
"136",2,6,2,1
"137",1,6,2,1
"138",1,1,2,3
"139",1,6,2,3
"140",1,2,2,2
"141",1,1,2,5
"142",1,1,2,6
"143",1,1,1,5
"144",1,1,2,2
"145",1,1,1,5
"146",1,1,1,5
"147",1,2,1,2
"148",1,2,2,4
"149",1,1,1,6
"150",1,1,2,2
"151",1,6,2,2
"152",1,2,2,2
"153",1,2,2,3
"154",1,2,1,2
"155",1,2,1,2
"156",1,1,2,6
"157",1,2,2,4
"158",1,2,1,3
"159",1,1,1,3
"160",1,2,1,6
"161",1,1,1,5
"162",1,1,2,2
"163",1,6,2,3
"164",1,1,1,6
"165",1,1,2,5
"166",2,6,2,3
"167",1,1,2,5
"168",1,2,1,5
"169",1,1,2,3
"170",1,6,1,2
"171",1,2,2,5
"172",1,1,2,1
"173",1,2,2,5
"174",1,2,1,2
"175",1,2,2,5
"176",1,1,2,5
"177",1,1,1,2
"178",1,2,2,5
"179",1,1,1,5
"180",1,2,2,5
"181",2,6,2,3
"182",1,1,2,5
"183",1,1,1,3
"184",1,6,2,2
"185",1,1,2,5
"186",1,1,1,2
"187",1,1,1,5
"188",1,1,2,5
"189",1,1,2,5
"190",1,2,2,5
"191",1,1,1,2
"192",1,2,1,5
"193",1,1,2,5
"194",1,1,2,4
"195",1,5,1,5
"196",1,1,2,5
"197",1,1,2,5
"198",1,1,2,4
"199",1,1,2,2
"200",1,6,2,2
"201",1,2,2,3
"202",1,1,2,4
"203",1,1,3,4
"204",1,2,2,2
"205",1,1,2,6
"206",1,1,2,6
"207",1,2,2,2
"208",1,6,2,5
"209",1,6,2,5
"210",1,6,2,3
"211",1,6,1,4
"212",1,2,1,6
"213",1,1,1,6
"214",2,6,2,1
"215",1,1,2,3
"216",1,1,1,3
"217",1,2,1,4
"218",1,1,2,3
"219",1,2,2,3
"220",1,1,1,5
"221",1,1,1,4
"222",1,1,1,2
"223",1,1,2,4
"224",1,1,2,2
"225",1,1,1,5
"226",1,2,1,4
"227",1,2,1,5
"228",1,6,1,2
"229",1,1,2,4
"230",1,2,1,5
"231",1,6,1,2
"232",1,2,1,5
"233",1,1,1,2
"234",1,6,2,5
"235",1,1,1,6
"236",1,1,2,6
"237",1,2,1,6
"238",1,2,2,3
"239",1,1,1,5
"240",1,6,2,2
"241",1,1,1,3
"242",1,1,2,3
"243",1,2,1,5
"244",1,2,1,5
"245",1,2,2,3
"246",1,1,2,5
"247",1,1,2,3
"248",1,2,1,2
"249",1,1,2,6
"250",1,2,1,3
"251",1,2,2,2
"252",2,2,1,5
"253",1,6,1,1
"254",1,2,1,5
"255",1,1,1,6
"256",2,6,2,3
"257",1,2,2,4
"258",1,2,1,5
"259",1,2,2,5
"260",1,6,1,3
"261",1,2,2,2
"262",1,1,2,2
"263",1,1,2,6
"264",2,6,2,5
"265",1,1,1,2
"266",1,1,1,6
"267",1,1,1,5
"268",1,1,1,5
"269",1,1,2,3
"270",1,2,2,3
"271",1,1,1,6
"272",1,1,2,5
"273",1,1,2,6
"274",1,1,1,6
"275",2,6,2,2
"276",1,1,2,2
"277",1,1,1,1
"278",1,2,2,2
"279",1,2,2,2
"280",1,3,2,2
"281",1,2,1,3
"282",1,1,1,4
"283",1,2,2,5
"284",1,1,2,5
"285",1,2,2,5
"286",1,1,1,6
"287",1,1,2,3
"288",2,6,2,2
"289",1,2,2,3
"290",1,1,2,5
"291",1,2,2,2
"292",1,1,2,2
"293",1,1,2,3
"294",1,1,2,6
"295",1,2,2,3
"296",1,2,2,6
"297",1,2,2,3
"298",1,2,1,4
"299",1,2,2,6
"300",1,2,1,5
"301",1,1,1,2
"302",1,2,1,2
"303",1,1,1,5
"304",1,1,1,6
"305",1,6,1,2
"306",1,1,1,2
"307",1,2,2,6
"308",1,1,1,3
"309",2,6,2,1
"310",2,6,2,2
"311",1,4,2,6
"312",1,1,1,3
"313",1,1,1,5
"314",1,1,1,4
"315",1,1,2,4
"316",1,2,1,2
"317",1,1,2,5
"318",1,3,2,5
"319",1,1,2,5
"320",1,1,2,2
"321",1,2,2,4
"322",2,6,2,5
"323",1,6,2,3
"324",1,1,1,2
"325",1,1,2,5
"326",1,2,2,2
"327",1,2,2,4
"328",2,6,2,1
"329",1,1,1,6
"330",1,2,2,2
"331",1,6,2,5
"332",1,1,2,6
"333",1,1,1,2
"334",1,1,2,1
"335",1,1,1,6
"336",1,1,1,6
"337",1,1,1,3
"338",1,2,2,2
"339",1,2,1,6
"340",1,2,1,2
"341",2,2,2,4
"342",1,1,2,6
"343",1,1,2,6
"344",1,1,2,6
"345",1,1,2,3
"346",1,2,2,3
"347",1,1,2,3
"348",1,6,1,6
"349",1,1,1,6
"350",1,1,2,6
"351",1,1,2,6
"352",1,2,2,5
"353",1,2,2,3
"354",1,2,2,4
"355",1,1,1,3
"356",1,2,1,2
"357",1,2,1,3
"358",1,2,1,6
"359",1,2,2,6
"360",1,4,1,3
"361",1,2,2,3
"362",1,1,1,6
"363",1,1,1,2
"364",1,2,2,6
"365",1,1,1,6
"366",1,1,1,6
"367",1,1,1,3
"368",1,2,2,2
"369",1,1,1,2
"370",1,2,1,2
"371",1,1,2,5
"372",2,6,2,2
"373",1,2,1,3
"374",1,1,1,2
"375",3,6,2,2
"376",1,1,1,3
"377",1,1,2,6
"378",1,1,2,6
"379",1,1,1,2
"380",1,1,2,3
"381",1,2,1,5
"382",1,1,2,4
"383",1,1,2,6
"384",1,1,2,6
"385",1,1,2,3
"386",1,1,2,3
"387",1,2,1,2
"388",1,2,1,2
"389",1,1,2,6
"390",1,2,1,6
"391",1,2,2,2
"392",1,2,2,3
"393",1,2,2,3
"394",1,1,2,6
"395",1,6,2,6
"396",1,1,2,4
"397",1,1,2,4
"398",1,2,1,2
"399",1,1,1,2
"400",2,6,1,3
"401",1,6,1,3
"402",1,1,2,4
"403",1,1,2,4
"404",1,1,1,4
"405",1,6,1,2
"406",1,2,2,2
"407",1,1,2,2
"408",1,1,1,2
"409",1,1,2,4
"410",1,1,2,3
"411",1,2,1,2
"412",1,1,2,3
"413",1,6,1,4
"414",1,2,1,2
"415",3,1,1,2
"416",1,2,1,4
"417",1,2,1,5
"418",1,2,2,3
"419",1,2,1,2
"420",2,6,2,3
"421",1,1,1,5
"422",1,2,1,3
"423",1,2,2,3
"424",1,2,1,4
"425",1,1,1,4
"426",1,6,2,3
"427",1,1,1,3
"428",1,1,1,3
"429",1,1,1,5
"430",1,6,1,3
"431",1,1,2,2
"432",1,3,1,5
"433",1,2,1,3
"434",1,2,1,3
"435",1,2,1,2
"436",1,1,2,4
"437",2,2,1,5
"438",1,2,2,2
"439",1,1,2,6
"440",1,1,1,4
"441",1,2,2,3
